"Source:","C:\Users\Newton\Desktop\Guilherme Reis\Radar_2_4_GHz\Radar_2_4_GHz\Radar_2_4_GHz.kicad_sch"
"Date:","16/04/2023 20:34:26"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C15","2","1nF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C2, C9","2","0,1uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C3","1","2,pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C4, C5, C18, C19","4","220pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C6","1","10pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C7","1","39pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C8","1","20pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C10","1","15pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C11","1","2,7pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C12, C16, C17, C20","4","0,01uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C13","1","2pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C14","1","10nF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C21","1","8,2pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"L1","1","10nH","L_Small","Inductor_SMD:L_0402_1005Metric","Inductor, small symbol","",""
"L2","1","5,1nH","L_Small","Inductor_SMD:L_0402_1005Metric","Inductor, small symbol","",""
"L3","1","3,3nH","L_Small","Inductor_SMD:L_0402_1005Metric","Inductor, small symbol","",""
"L4","1","12nH","L_Small","Inductor_SMD:L_0402_1005Metric","Inductor, small symbol","",""
"R1, R4","2","0R","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R2","1","200R","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R3","1","2KR","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R5","1","698R","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"U1","1","MAX2750EUA+","MAX2750EUA+","Package_SO:MSOP-8_3x3mm_P0.65mm","","",""
"U2","1","SKY67106-306LF","SKY67106-306LF","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias","","",""
"U3","1","MAX2024ETP+","MAX2024ETP+","Package_DFN_QFN:TQFN-20-1EP_5x5mm_P0.65mm_EP3.1x3.1mm","","",""
"U4","1","SE2609L","SE2609L","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","","",""
